21.865 1.5 277.726 19702.1 22.1669 0 10.4522 14500 5200
21.6121 1.5 215.187 23482.2 22.9296 1 6.10076 14500 5200
22.066 1.5 178.805 25584.5 21.2384 1 12.465 14500 5200
22.259 1.5 231.312 20612.5 22.767 0 13.6707 14500 5200
21.8995 1.5 247.646 26523.3 21.0026 0 12.9581 14500 5200
21.4564 1.5 228.81 23743.4 21.1085 1 13.4829 14500 5200
21.7667 1.5 293.498 20539.7 21.5988 1 7.50093 14500 5200
22.6184 1.5 220.02 20658.7 21.4909 0 8.47177 14500 5200
22.1102 1.5 240.535 20863.2 22.1803 1 9.57512 14500 5200
22.8896 1.5 227.109 17492.8 22.1807 1 14.5451 14500 5200
22.8983 1.5 260.961 15496 23.7345 0 8.3925 14500 5200
22.1666 1.5 177.967 18209 22.1339 0 14.9888 14500 5200
22.7588 1.5 239.506 19920.3 21.4338 1 9.33435 14500 5200
22.0789 1.5 251.436 19602.3 21.9134 0 6.75409 14500 5200
21.225 1.5 211.571 17961.4 20.4714 0 7.4764 14500 5200
22.5304 1.5 211.907 16318.8 21.9027 0 10.3056 14500 5200
21.1646 1.5 176.556 19410.7 19.9923 1 12.6896 14500 5200
22.0949 1.5 155.558 18635.4 20.6849 0 8.65122 14500 5200
21.1094 1.5 289.229 25056.9 20.3597 0 5.16839 14500 5200
22.5497 1.5 296.545 20290.1 23.0838 0 14.0525 14500 5200
21.4292 1.5 247.568 16027.2 21.0297 1 10.8551 14500 5200
21.8736 1.5 241.368 25757.3 22.0218 1 9.25366 14500 5200
22.1158 1.5 299.531 24274.3 23.1045 0 6.56691 14500 5200
21.825 1.5 187.172 15829.2 21.3808 1 11.9899 14500 5200
21.3802 1.5 237.4 18466.6 22.1467 1 8.42662 14500 5200
21.9392 1.5 261.619 16195.6 22.0982 1 13.5192 14500 5200
21.3796 1.5 159.303 24199.9 21.7554 0 11.6649 14500 5200
21.6777 1.5 276.674 14104.9 20.5187 0 12.533 14500 5200
21.6581 1.5 190.888 13072.8 21.6593 1 9.13684 14500 5200
21.1264 1.5 156.779 17192.8 21.5925 0 12.1808 14500 5200
22.1604 1.5 280.377 19217.7 21.4209 0 6.77694 14500 5200
22.6005 1.5 264.166 13708.2 21.8674 0 9.95452 14500 5200
21.0124 1.5 151.356 22137.3 20.8668 0 7.67477 14500 5200
21.5161 1.5 281.559 25171.3 21.484 0 11.0523 14500 5200
22.2904 1.5 214.295 22598.4 23.2252 0 7.1415 14500 5200
22.1796 1.5 253.35 18140.6 22.6058 0 6.65964 14500 5200
21.1505 1.5 225.171 14562.7 20.2741 0 13.2204 14500 5200
21.5599 1.5 178.623 15085.9 20.711 0 11.6117 14500 5200
